Quantity,Name
1,Acidic Sliver
2,Ancient Ziggurat
1,Aphetto Dredging
1,Azorius Guildgate
1,Basal Sliver
1,Bonescythe Sliver
1,Brood Sliver
1,Clot Sliver
1,Coat of Arms
1,Concealed Courtyard
1,Crystalline Sliver
1,Distant Melody
1,Essence Sliver
2,Farseek
2,Forest
1,Fungus Sliver
2,Gemhide Sliver
1,Harmonic Sliver
1,Horned Sliver
2,Island
1,Megantic Sliver
1,Mountain2,Muscle Sliver
1,Necrotic Sliver
4,Plains
2,Plated Sliver
1,Pulmonic Sliver
4,Rampant Growth
1,Razorverge Thicket
1,Rootbound Crag
2,Rupture Spire
1,Shadow Sliver
1,Sinew Sliver
1,Sliver Overlord
4,Swamp
1,Syphon Sliver
1,Vampiric Sliver
1,Virulent Sliver
2,Vivid Grove
1,Ward Sliver
1,Wild Pair
1,Winged Sliver
